,index,TP_FUNDO,DENOM_SOCIAL,DT_REG,SIT,CLASSE,RENTAB_FUNDO,CONDOM,FUNDO_COTAS,FUNDO_EXCLUSIVO,PUBLICO_ALVO,TAXA_PERFM,INF_TAXA_PERFM,TAXA_ADM,INF_TAXA_ADM,ADMIN,GESTOR,RETORNO,VOLATILIDADE,SHARPE,SORTINO,INFORMATION_RATIO,CALMAR_RATIO,PAIN_INDEX,PAIN_RATIO
0,06.537.068/0001-90,FACFIF,AMAZÔNIA CREDIT 90 - FUNDO DE APLICAÇÃO EM QUOTAS DE FUNDOS DE INVESTIMENTO,2004-08-02,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,BANCO DA AMAZÔNIA S.A.,,-0.005306131056232462,4.44147293236426e-05,-119.4678237835828,-399474.82164878433,479180.01822272374,-0.4283296925377764,-0.006173707640825172,181.03814937387705
1,07.408.147/0001-64,FACFIF,"FUNDO AMAZONIA DE APLICAÇÃO EM COTAS DE FUNDO DE INVESTIMENTO-AMAZONIA MIX ""2""",2005-04-11,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,BANCO DA AMAZÔNIA S.A.,,-0.015277939240213591,0.00012795551936848788,-119.40039253966056,-139899.11268343768,166307.50192477173,-0.4333472092877952,-0.01767570586181524,63.79651387446931
2,02.010.153/0001-45,FAPI,BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,1997-12-16,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,BB GESTAO DE RECURSOS DTVM S.A,,0.050609069704955933,0.014534847433451703,3.481912688569405,-1159.6227520087812,2487.649407532237,2.872334274233353,-0.0010709266436360202,991.4417683215564
3,02.177.812/0001-32,FAPI,ITAU FAPI RENDA FIXA - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,1997-11-27,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,ITAU UNIBANCO S.A.,,0.030334993645202715,0.00811682161940738,3.7372995326978145,-2116.1954230497713,2883.324802747455,3.5565292292846613,-0.002257023944280643,479.40806481509605
4,02.177.815/0001-76,FAPI,ITAU FAPI CONSERVADOR - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL,1997-10-13,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,ITAU UNIBANCO S.A.,,0.02722569749726047,0.009229281017732205,2.949926158381327,-1866.4660089734189,2655.445537094513,2.354935693213839,-0.003911382100683815,277.43256720614124
5,02.185.027/0001-21,FAPI,BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI FIX,1997-12-23,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,BRADESCO VIDA E PREVIDÊNCIA S.A.,,0.02550221428023189,0.002998636861360903,8.504602410796068,-5753.780651824821,3197.9771652249847,3.3467753217685,-0.0014467536532585283,751.2462527991078
6,02.226.122/0001-26,FAPI,UNIBANCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVADOR,1997-12-05,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,ITAU UNIBANCO S.A.,,-0.047662334664523784,0.13151283800637864,-0.3624158324544107,-140.02397212063912,915.7555697542845,-0.2000062273456307,-0.08668647287469754,13.38193574164027
7,02.297.533/0001-02,FAPI,BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI RENDA FIXA PLUS,1997-12-29,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,BRADESCO VIDA E PREVIDÊNCIA S.A.,,0.02085013548646344,0.004823681949597163,4.322452372342808,-3592.1415211881563,2934.8194093946345,1.3377359749848021,-0.0038646652044241957,282.4359373428016
8,02.661.252/0001-97,FAPI,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB,1998-08-21,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,ITAU UNIBANCO S.A.,,0.011257495723285594,0.13421196494539214,0.08387848078869882,-130.2389593852222,269.4969579049352,0.04985999574402026,-0.05017548117383332,21.945240056114688
9,02.661.267/0001-55,FAPI,FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL BALANCED IB,1998-08-27,EM FUNCIONAMENTO NORMAL,,,,,,,,,,,ITAU UNIBANCO S.A.,,0.022197462789810815,0.07346339347294155,0.3021567850386153,-235.57256533013884,444.65755083172877,0.17348654638282865,-0.02682452647024241,40.640904264747626
